Date : 2025-03-20 00:16:31
Directory : /home/yht/Projects/MyTinyWebServer/test
Total : 76 files,  -2700 codes, -107 comments, -554 blanks, all -3361 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/yht/Projects/MyTinyWebServer/test/eventloop_test.cpp                   | C++      |         19 |          0 |          3 |         22 |
| /home/yht/Projects/MyTinyWebServer/test/eventloop_thread_test.cpp            | C++      |         24 |          1 |          6 |         31 |
| /home/yht/Projects/MyTinyWebServer/test/http_parser_unittest.cpp             | C++      |        163 |         24 |         33 |        220 |
| /home/yht/Projects/MyTinyWebServer/test/http_parser_with_tcp_server_test.cpp | C++      |         49 |          2 |         12 |         63 |
| /home/yht/Projects/MyTinyWebServer/test/http_server_unittest.cpp             | C++      |        547 |         35 |         82 |        664 |
| /home/yht/Projects/MyTinyWebServer/test/httpserver_demo_test.cpp             | C++      |          6 |          0 |          1 |          7 |
| /home/yht/Projects/MyTinyWebServer/test/inet_address_unittest.cpp            | C++      |         78 |          5 |         29 |        112 |
| /home/yht/Projects/MyTinyWebServer/test/logfile_test.cpp                     | C++      |         27 |          0 |          9 |         36 |
| /home/yht/Projects/MyTinyWebServer/test/logger_test.cpp                      | C++      |         39 |          0 |          6 |         45 |
| /home/yht/Projects/MyTinyWebServer/test/makefile                             | Makefile |         24 |          9 |         12 |         45 |
| /home/yht/Projects/MyTinyWebServer/test/pending_functor_in_loop_test.cpp     | C++      |         32 |          1 |         10 |         43 |
| /home/yht/Projects/MyTinyWebServer/test/tcpconn_send2_test.cpp               | C++      |         47 |          1 |          9 |         57 |
| /home/yht/Projects/MyTinyWebServer/test/tcpconn_send3_test.cpp               | C++      |         51 |          1 |          9 |         61 |
| /home/yht/Projects/MyTinyWebServer/test/tcpconn_send_test.cpp                | C++      |         43 |          1 |          9 |         53 |
| /home/yht/Projects/MyTinyWebServer/test/tcpserver_test.cpp                   | C++      |         41 |          1 |          8 |         50 |
| /home/yht/Projects/MyTinyWebServer/test/thread_test.cpp                      | C++      |         17 |          5 |          5 |         27 |
| /home/yht/Projects/MyTinyWebServer/test/timer_self_cancel_test.cpp           | C++      |         28 |          0 |          5 |         33 |
| /home/yht/Projects/MyTinyWebServer/test/timer_test.cpp                       | C++      |         34 |          0 |          7 |         41 |
| /home/yht/Projects/MyTinyWebServer/test/timewheel_test.cpp                   | C++      |         92 |         11 |         18 |        121 |
| Total                                                                        |          |     -2,700 |       -107 |       -554 |     -3,361 |
+------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
